IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
89.168.83.143,8443,true,FRA,Europe,Frankfurt,292 ms,5416 kB/s
192.9.137.193,8443,true,SJC,North America,San Jose,175 ms,4524 kB/s
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,188 ms,4324 kB/s
129.151.148.35,443,true,AMS,Europe,Amsterdam,204 ms,4091 kB/s
217.142.243.226,443,true,KIX,Asia Pacific,Osaka,243 ms,4081 kB/s
152.70.123.225,8443,true,SJC,North America,San Jose,185 ms,3778 kB/s
129.146.46.164,443,true,SJC,North America,San Jose,281 ms,3724 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,267 ms,3691 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,264 ms,3390 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,299 ms,3131 kB/s
129.159.241.172,443,true,FRA,Europe,Frankfurt,300 ms,3129 kB/s
130.61.23.77,443,true,FRA,Europe,Frankfurt,305 ms,2965 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,247 ms,2952 kB/s
141.144.253.109,443,true,FRA,Europe,Frankfurt,289 ms,2740 kB/s
150.230.7.216,443,true,KIX,Asia Pacific,Osaka,194 ms,2719 kB/s
158.178.153.80,2096,true,AMS,Europe,Amsterdam,292 ms,2367 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,368 ms,2329 kB/s
144.24.200.164,443,true,MRS,Europe,Marseille,266 ms,2265 kB/s
132.145.54.84,8443,true,LHR,Europe,London,241 ms,2214 kB/s
129.151.198.3,8443,true,ARN,Europe,Stockholm,259 ms,2210 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,250 ms,2182 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,269 ms,2175 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,305 ms,2092 kB/s
129.213.136.180,443,true,IAD,North America,Ashburn,267 ms,1855 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,281 ms,1814 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,260 ms,1684 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,263 ms,1503 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,290 ms,1139 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,294 ms,1001 kB/s
168.138.141.235,2053,true,GRU,South America,São Paulo,353 ms,991 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,255 ms,755 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,360 ms,304 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,354 ms,233 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,263 ms,166 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,350 ms,160 kB/s
155.248.196.123,443,true,YVR,North America,Vancouver,198 ms,147 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,245 ms,141 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,321 ms,112 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,254 ms,34 kB/s
150.136.87.192,443,true,IAD,North America,Ashburn,253 ms,0 kB/s
140.238.86.228,443,true,LHR,Europe,London,237 ms,0 kB/s
