IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
13.40.128.14,8443,true,LHR,Europe,London,195 ms,7468 kB/s
204.110.220.196,80,true,SJC,North America,San Jose,175 ms,7023 kB/s
204.110.220.249,80,true,SJC,North America,San Jose,196 ms,6866 kB/s
35.167.93.200,443,true,SEA,North America,Seattle,202 ms,5894 kB/s
44.226.147.29,443,true,SEA,North America,Seattle,214 ms,3785 kB/s
204.110.221.20,80,true,YUL,North America,Montréal,269 ms,3736 kB/s
18.189.94.250,443,true,CMH,North America,Columbus,231 ms,3575 kB/s
204.110.221.179,80,true,YUL,North America,Montréal,284 ms,3573 kB/s
204.110.221.115,80,true,YUL,North America,Montréal,264 ms,3551 kB/s
18.135.67.188,443,true,LHR,Europe,London,201 ms,2912 kB/s
3.112.21.102,443,true,NRT,Asia Pacific,Tokyo,81 ms,2645 kB/s
43.206.192.211,443,true,NRT,Asia Pacific,Tokyo,82 ms,966 kB/s
204.110.221.36,80,true,YUL,North America,Montréal,258 ms,358 kB/s
18.135.188.86,443,true,LHR,Europe,London,199 ms,246 kB/s
13.229.159.215,443,true,SIN,Asia Pacific,Singapore,111 ms,147 kB/s
44.227.22.10,443,true,SEA,North America,Seattle,206 ms,96 kB/s
50.112.166.63,443,true,SEA,North America,Seattle,225 ms,89 kB/s
3.99.106.179,443,true,YUL,North America,Montréal,250 ms,80 kB/s
3.98.73.243,443,true,YUL,North America,Montréal,244 ms,73 kB/s
3.7.108.69,443,true,BOM,Asia Pacific,Mumbai,347 ms,54 kB/s
13.233.5.49,443,true,BOM,Asia Pacific,Mumbai,312 ms,54 kB/s
15.157.7.168,443,true,YUL,North America,Montréal,249 ms,54 kB/s
3.111.155.29,443,true,BOM,Asia Pacific,Mumbai,309 ms,51 kB/s
