IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
204.110.221.176,80,true,YUL,North America,Montréal,285 ms,3586 kB/s
44.226.147.29,443,true,SEA,North America,Seattle,232 ms,2309 kB/s
204.110.221.78,80,true,YUL,North America,Montréal,247 ms,1919 kB/s
204.110.220.18,80,true,SJC,North America,San Jose,182 ms,1348 kB/s
204.110.221.20,80,true,YUL,North America,Montréal,250 ms,240 kB/s
43.206.192.211,443,true,NRT,Asia Pacific,Tokyo,89 ms,176 kB/s
204.110.221.170,80,true,YUL,North America,Montréal,250 ms,172 kB/s
3.112.21.102,443,true,NRT,Asia Pacific,Tokyo,81 ms,160 kB/s
13.229.159.215,443,true,SIN,Asia Pacific,Singapore,115 ms,141 kB/s
204.110.221.28,80,true,YUL,North America,Montréal,254 ms,137 kB/s
204.110.223.199,80,true,CMH,North America,Columbus,262 ms,134 kB/s
204.110.221.192,80,true,YUL,North America,Montréal,246 ms,118 kB/s
18.189.94.250,443,true,CMH,North America,Columbus,231 ms,99 kB/s
18.135.67.188,443,true,LHR,Europe,London,197 ms,77 kB/s
3.99.106.179,443,true,YUL,North America,Montréal,256 ms,77 kB/s
15.157.7.168,443,true,YUL,North America,Montréal,267 ms,61 kB/s
3.111.155.29,443,true,BOM,Asia Pacific,Mumbai,307 ms,48 kB/s
13.233.5.49,443,true,BOM,Asia Pacific,Mumbai,309 ms,48 kB/s
35.167.93.200,443,true,SEA,North America,Seattle,211 ms,45 kB/s
204.110.220.169,80,true,SJC,North America,San Jose,183 ms,42 kB/s
3.98.73.243,443,true,YUL,North America,Montréal,252 ms,42 kB/s
44.227.22.10,443,true,SEA,North America,Seattle,218 ms,34 kB/s
204.110.221.179,80,true,YUL,North America,Montréal,285 ms,34 kB/s
50.112.166.63,443,true,SEA,North America,Seattle,218 ms,34 kB/s
18.135.188.86,443,true,LHR,Europe,London,196 ms,33 kB/s
3.7.108.69,443,true,BOM,Asia Pacific,Mumbai,308 ms,24 kB/s
