IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,186 ms,4268 kB/s
217.142.243.226,443,true,KIX,Asia Pacific,Osaka,197 ms,4024 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,283 ms,3681 kB/s
192.9.137.193,8443,true,SJC,North America,San Jose,202 ms,3202 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,285 ms,3011 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,248 ms,2817 kB/s
132.145.54.84,8443,true,LHR,Europe,London,275 ms,2652 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,320 ms,2562 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,290 ms,1905 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,315 ms,1129 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,375 ms,859 kB/s
129.159.241.172,443,true,FRA,Europe,Frankfurt,328 ms,505 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,381 ms,396 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,249 ms,380 kB/s
168.138.141.235,2053,true,GRU,South America,São Paulo,351 ms,176 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,308 ms,125 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,356 ms,115 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,293 ms,99 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,247 ms,89 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,368 ms,64 kB/s
168.138.50.249,443,true,KIX,Asia Pacific,Osaka,191 ms,0 kB/s
192.18.159.129,443,true,YYZ,North America,Toronto,233 ms,0 kB/s
132.145.127.203,2053,true,NRT,Asia Pacific,Tokyo,208 ms,0 kB/s
132.145.127.203,8443,true,NRT,Asia Pacific,Tokyo,205 ms,0 kB/s
129.80.123.71,443,true,IAD,North America,Ashburn,275 ms,0 kB/s
