IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
158.178.153.80,2096,true,AMS,Europe,Amsterdam,255 ms,0 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,265 ms,0 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,254 ms,0 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,251 ms,0 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,287 ms,0 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,270 ms,0 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,242 ms,0 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,261 ms,0 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,300 ms,0 kB/s
64.181.240.173,443,true,SJC,North America,San Jose,176 ms,0 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,296 ms,0 kB/s
130.61.23.77,443,true,FRA,Europe,Frankfurt,264 ms,0 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,262 ms,0 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,301 ms,0 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,252 ms,0 kB/s
132.145.54.84,8443,true,LHR,Europe,London,265 ms,0 kB/s
129.80.123.71,443,true,IAD,North America,Ashburn,234 ms,0 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,309 ms,0 kB/s
192.18.159.129,443,true,YYZ,North America,Toronto,234 ms,0 kB/s
129.151.148.35,443,true,HKG,Asia Pacific,Hong Kong,192 ms,0 kB/s
129.159.241.172,443,true,FRA,Europe,Frankfurt,262 ms,0 kB/s
155.248.196.123,443,true,YVR,North America,Vancouver,193 ms,0 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,355 ms,0 kB/s
168.138.141.235,2053,true,GRU,South America,São Paulo,353 ms,0 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,283 ms,0 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,383 ms,0 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,375 ms,0 kB/s
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,211 ms,0 kB/s
152.70.123.225,8443,true,SJC,North America,San Jose,185 ms,0 kB/s
168.138.184.172,443,true,SIN,Asia Pacific,Singapore,344 ms,0 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,357 ms,0 kB/s
141.144.253.109,443,true,FRA,Europe,Frankfurt,269 ms,0 kB/s
158.101.24.17,443,true,LAX,North America,Los Angeles,298 ms,0 kB/s
132.145.127.203,2053,true,NRT,Asia Pacific,Tokyo,201 ms,0 kB/s
