IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
13.40.128.14,8443,true,LHR,Europe,London,194 ms,18 kB/s
50.112.166.63,443,true,SEA,North America,Seattle,224 ms,16 kB/s
3.98.73.243,443,true,YUL,North America,Montréal,251 ms,14 kB/s
3.99.106.179,443,true,YUL,North America,Montréal,254 ms,14 kB/s
204.110.221.77,80,true,YUL,North America,Montréal,252 ms,14 kB/s
204.110.220.55,80,true,SJC,North America,San Jose,186 ms,14 kB/s
204.110.220.230,80,true,SJC,North America,San Jose,174 ms,13 kB/s
204.110.221.20,80,true,YUL,North America,Montréal,259 ms,13 kB/s
3.111.155.29,443,true,BOM,Asia Pacific,Mumbai,306 ms,12 kB/s
18.135.67.188,443,true,LHR,Europe,London,256 ms,12 kB/s
18.135.188.86,443,true,LHR,Europe,London,200 ms,12 kB/s
3.7.108.69,443,true,BOM,Asia Pacific,Mumbai,372 ms,12 kB/s
35.167.93.200,443,true,SEA,North America,Seattle,212 ms,11 kB/s
44.227.22.10,443,true,SEA,North America,Seattle,198 ms,10 kB/s
44.226.147.29,443,true,SEA,North America,Seattle,220 ms,10 kB/s
18.189.94.250,443,true,CMH,North America,Columbus,234 ms,9 kB/s
204.110.223.255,80,true,IAD,North America,Ashburn,242 ms,8 kB/s
15.157.7.168,443,true,YUL,North America,Montréal,254 ms,7 kB/s
13.233.5.49,443,true,BOM,Asia Pacific,Mumbai,287 ms,7 kB/s
204.110.221.35,80,true,YUL,North America,Montréal,263 ms,5 kB/s
