IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
4.230.8.95,4,4,0.00,175.21,24.10,ICN
158.180.82.186,4,4,0.00,176.23,20.11,ICN
158.179.171.53,4,4,0.00,176.87,19.18,ICN
