IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
194.36.178.24,4,4,0.00,99.35,8.15,SIN
51.79.254.182,4,4,0.00,99.27,4.38,SIN
51.79.254.182,4,4,0.00,98.28,2.84,SIN
54.169.229.188,4,4,0.00,97.57,0.93,SIN
8.222.165.104,4,4,0.00,95.19,0.16,SIN
