IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
185.126.80.195,4,4,0.00,196.93,17.01,SIN
146.190.111.165,4,4,0.00,199.12,16.94,SIN
146.190.111.165,4,4,0.00,200.11,16.90,SIN
178.128.80.43,4,4,0.00,198.53,16.32,SIN
146.190.107.103,4,4,0.00,198.40,16.26,SIN
