IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
45.77.28.75,4,4,0.00,150.42,34.88,NRT
54.199.222.232,4,4,0.00,150.06,22.40,NRT
185.39.31.39,4,4,0.00,150.74,12.03,NRT
