IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
89.185.84.32,4,4,0.00,109.69,38.68,FRA
37.48.90.120,4,4,0.00,113.99,36.08,FRA
139.162.191.101,4,4,0.00,115.72,33.09,FRA
