IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
95.179.166.107,4,4,0.00,125.76,43.00,FRA
94.131.120.84,4,4,0.00,126.21,27.46,FRA
45.32.153.158,4,4,0.00,125.41,8.12,FRA
45.76.82.98,4,4,0.00,125.07,5.22,FRA
45.76.82.192,4,4,0.00,125.36,5.11,FRA
