IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
23.94.217.248,4,4,0.00,109.91,38.25,AMS
193.93.153.82,4,4,0.00,108.99,20.74,AMS
185.246.152.79,4,4,0.00,108.92,17.84,AMS
