IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
45.77.28.75,4,4,0.00,134.09,38.93,NRT
140.227.233.71,4,4,0.00,133.01,35.14,NRT
154.31.113.72,4,4,0.00,133.35,25.45,NRT
45.77.130.245,4,4,0.00,133.08,25.28,NRT
153.121.64.165,4,4,0.00,133.94,13.44,NRT
