IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
108.162.192.132,4,4,0.00,262.18,3.32,LAX
108.162.193.47,4,4,0.00,260.75,2.98,LAX
188.114.98.84,4,4,0.00,260.85,0.00,LAX
