IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
104.17.163.123,4,4,0.00,84.28,5.56,HKG
104.16.68.38,4,4,0.00,56.00,5.36,HKG
172.64.146.173,4,4,0.00,87.34,4.72,HKG
