IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
104.23.115.30,4,4,0.00,245.52,7.10,LAX
104.27.43.60,4,4,0.00,244.35,6.89,LAX
104.20.127.68,4,4,0.00,247.33,6.59,LAX
172.64.41.210,4,4,0.00,247.79,6.27,LAX
104.20.121.35,4,4,0.00,246.51,5.31,LAX
