IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
172.67.141.219,4,4,0.00,252.21,8.68,FRA
172.67.12.98,4,4,0.00,252.37,8.35,FRA
172.64.229.152,4,4,0.00,252.10,6.99,FRA
172.67.10.22,4,4,0.00,252.99,5.72,FRA
172.67.136.42,4,4,0.00,254.99,4.44,FRA
