IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
172.67.4.20,4,4,0.00,264.06,7.62,FRA
172.67.9.162,4,4,0.00,262.62,5.82,FRA
172.67.141.17,4,4,0.00,255.80,5.39,FRA
172.67.10.144,4,4,0.00,258.48,5.33,FRA
172.67.14.155,4,4,0.00,263.05,4.92,FRA
