IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
104.20.60.233,4,4,0.00,413.09,0.28,FRA
104.20.49.217,4,4,0.00,289.34,0.00,FRA
