IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
91.149.240.37,4,4,0.00,201.36,1.81,AMS
77.220.214.135,4,4,0.00,176.22,0.34,AMS
45.87.107.36,4,4,0.00,193.94,0.03,AMS
