IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
192.18.148.248,4,4,0.00,14.36,6.82
140.238.158.238,4,4,0.00,14.78,5.36
199.59.243.228,4,4,0.00,7.07,0.00
192.18.159.129,4,4,0.00,14.40,0.00
129.213.130.70,4,4,0.00,15.91,0.00
