IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
192.18.148.248,4,4,0.00,14.47,7.11
150.136.87.192,4,4,0.00,16.01,6.90
140.238.158.238,4,4,0.00,14.60,6.45
192.18.159.129,4,4,0.00,15.54,5.95
129.213.130.70,4,4,0.00,15.93,0.00
