IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
140.227.233.71,4,4,0.00,123.09,6.01,NRT
132.145.116.185,4,4,0.00,125.57,5.52,NRT
43.163.219.136,4,4,0.00,126.73,4.25,NRT
