IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
150.109.11.223,4,4,0.00,204.78,2.11,SIN
52.74.101.26,4,4,0.00,199.20,0.43,SIN
54.169.229.188,4,4,0.00,207.50,0.42,SIN
