IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
129.80.240.73,4,4,0.00,16.67,196.14
192.18.148.248,4,4,0.00,14.83,6.91
192.18.159.129,4,4,0.00,15.10,6.79
140.238.158.238,4,4,0.00,14.82,6.59
164.152.17.14,4,4,0.00,22.17,3.97
