IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
91.107.184.75,4,4,0.00,216.77,2.22,FRA
88.218.78.57,4,4,0.00,224.22,2.18,FRA
49.12.110.72,4,4,0.00,227.36,2.06,FRA
