IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),地区码(Colo)
4.230.8.95,4,4,0.00,105.68,2.12,ICN
15.165.121.25,4,4,0.00,98.98,1.95,ICN
52.141.25.42,4,4,0.00,103.72,1.66,ICN
